"_id","description"
"609a7e9c8703e5011247614a","Пространство для мероприятий (лофт). С кирпичной отделкой и множеством комнат.  Москва"
"609a7ea08703e5011247614b","заезд авто"
"609a7ea38703e5011247614c","Лофт трёхэтажный в дизайнерском стиле со своей верандой.  Москва"
"609a7ea78703e5011247614d","Есть веранда."
"609a7ea98703e5011247614e","Яркий лофт в дизайнерском стиле."
"609a7ead8703e5011247614f","Лофт в черно-белом стиле."
"609a7eb18703e50112476150","Светлое пространство в классическом стиле ."
"609a7eb58703e50112476151","Лофт в стиле минимализм с большими окнами"
"609a7eb88703e50112476152","Светлое пространство с большими окнами."
"609a7ebc8703e50112476153","Лофт в серых тонах и с большими окнами."
"609a7ec08703e50112476154","Двухуровневый лофт-офис с большими окнами.  Москва"
"609a7ec28703e50112476155","Лофт для мероприятий . В интерьере присутствуют: граффити, машины, диваны , кресла, камин.  Москва"
"609a7feb8703e50112476156","Пространство для мероприятий (лофт). С кирпичной отделкой и множеством комнат.  Москва"
"609a7fef8703e50112476157","заезд авто"
"609a7ff28703e50112476158","Лофт трёхэтажный в дизайнерском стиле со своей верандой.  Москва"
"609a7ff68703e50112476159","Есть веранда."
"609a7ffa8703e5011247615a","Яркий лофт в дизайнерском стиле."
"609a7fff8703e5011247615b","Лофт в черно-белом стиле."
"609a80028703e5011247615c","Светлое пространство в классическом стиле ."
"609a80068703e5011247615d","Лофт в стиле минимализм с большими окнами"
"609a800a8703e5011247615e","Светлое пространство с большими окнами."
"609a800e8703e5011247615f","Лофт в серых тонах и с большими окнами."
"609a80128703e50112476160","Двухуровневый лофт-офис с большими окнами.  Москва"
"609a80168703e50112476161","Лофт для мероприятий . В интерьере присутствуют: граффити, машины, диваны , кресла, камин.  Москва"
"609a821f8703e50112476162","Пространство для мероприятий (лофт). С кирпичной отделкой и множеством комнат.  Москва"
"609a82228703e50112476163","заезд авто"
"609a82258703e50112476164","Лофт трёхэтажный в дизайнерском стиле со своей верандой.  Москва"
"609a82288703e50112476165","Есть веранда."
"609a822b8703e50112476166","Яркий лофт в дизайнерском стиле."
"609a822e8703e50112476167","Лофт в черно-белом стиле."
"609a82308703e50112476168","Светлое пространство в классическом стиле ."
"609a82348703e50112476169","Лофт в стиле минимализм с большими окнами"
"609a82388703e5011247616a","Светлое пространство с большими окнами."
"609a823c8703e5011247616b","Лофт в серых тонах и с большими окнами."
"609a82408703e5011247616c","Двухуровневый лофт-офис с большими окнами.  Москва"
"609a82448703e5011247616d","Лофт для мероприятий . В интерьере присутствуют: граффити, машины, диваны , кресла, камин.  Москва"
"609a83dc8703e5011247616e","Самолёт с кожаными креслами.  МО"
"609a83df8703e5011247616f","Ангар для самолетов и вертолетов.  Московская область"
"609a83e68703e50112476171","Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия."
"609a83ee8703e50112476173","Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции."
"609a83f68703e50112476175","Черный бизнес-джет.  Москва"
"609a83f98703e50112476176","Ангар для стоянки бизнес-джетов.  Москва"
"609a83fd8703e50112476177","Бизнес-джет   Москва								  ЦАО"
"609a84008703e50112476178","Москва								  ЦАО"
"609a84048703e50112476179","Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации"
"609a84088703e5011247617a","Тренажер для обучения бортпроводников, имитирующий салон самолета"
"609a840b8703e5011247617b","Темное пространство .  Москва"
"609a840f8703e5011247617c","Светлое помещение с панорамными окнами и высокими потолками. Стены оформлены в стиле граффити,  большая зона отдыха."
"609a84138703e5011247617d","Небольшая мойка автомобилей, есть зона отдыха."
"609a84158703e5011247617e","Автомойка с зоной отдыха."
"609a841a8703e5011247617f","Автомойка с большими окнами ."
"609a841d8703e50112476180","Большой двухуровневый автосалон.  Москва"
"609a84208703e50112476181","Светлая просторная автомойка с кафельным покрытием."
"609a84248703e50112476182","Москва								  ЦАО"
"609a84298703e50112476183","Асфальтированная дорога, которая переходит в дорогу без покрытия, идущую через поле."
"609a842d8703e50112476184","Заправка   МО"
"609a84308703e50112476185","Подземная 2-хуровневая парковка.  Москва								  ЮАО"
"609a84348703e50112476186","Открытая парковка в городской среде и крупными зелеными насаждениями, тротуарная плитка, асфальт, арка в здании, постройки советского периода."
"609a84398703e50112476187","Москва								  САО"
"609a843d8703e50112476188","Банк, высокие потолки, светлое пространство."
"609a84408703e50112476189","Двухуровневый лофт-офис с большими окнами.  Москва"
"609a84458703e5011247618a","Крупный конгресс-центр включает в себя большой зал, переговорную, холл и зону кофе."
"609a84488703e5011247618b","Переговорная с современным интерьером в светлых тонах с большими окнами и винтовой лестницей,  26 посадочных мест.  Москва								  СВАО"
"609a844d8703e5011247618c","Современная городская застройка, бизнес среда, комплекс Москва Сити, высотные здания, стеклянные фасады, внутренняя территория."
"609a84518703e5011247618d","Современный холл в бизнес центре, интересная стеклянная конструкция используемая в рекреации , стеклянный фасад, современный интерьер."
"609a84558703e5011247618e","заезд авто"
"609a845a8703e5011247618f","Лофт трёхэтажный в дизайнерском стиле со своей верандой.  Москва"
"609a845d8703e50112476190","Есть веранда."
"609a84628703e50112476191","Яркий лофт в дизайнерском стиле."
"609a84658703e50112476192","Лофт в черно-белом стиле."
"609a84698703e50112476193","Светлое пространство в классическом стиле ."
"609a846b8703e50112476194","Лофт в стиле минимализм с большими окнами"
"609a846f8703e50112476195","Светлое пространство с большими окнами."
"609a84738703e50112476196","Лофт в серых тонах и с большими окнами."
"609a84778703e50112476197","Лофт для мероприятий . В интерьере присутствуют: граффити, машины, диваны , кресла, камин.  Москва"
"609a847c8703e50112476198","Пространство для мероприятий (лофт). С кирпичной отделкой и множеством комнат.  Москва"
"609a847f8703e50112476199","Бизнес центр в классическом стиле с большими окнами и длинными коридорами .  Москва"
"609a84838703e5011247619a","Бизнес центр с просторными кабинетами , большими окнами и кафе.  Москва"
"609a84868703e5011247619b","Бизнес центр с опен спецмашин, кафе и зоной, находящейся в строительном режиме.  Москва"
"609a84898703e5011247619c","Бизнес центр в дизайнерском стиле, часть находится в стадии ремонта , в бизнес центре также имеется подвал и чердак .  Москва"
"609a848d8703e5011247619d","Москва"
"609a84918703e5011247619e","Москва"
"609a84948703e5011247619f","Москва"
"609a84998703e501124761a0","Москва"
"609a849d8703e501124761a1","Москва"
"609a84a18703e501124761a2","Москва"
"609a84a38703e501124761a3","При входе в бизнес-центр расположен просторный светлый атриум с водной стеной и панорамной крышей,. В центре атриума лобби-бар, в здании также располагаются торговая галерея и рестораны. Внутренние этажи просторные и светлые за счет панорамного остекления  Москва"
"609a84a78703e501124761a4","Москва"
"609a84a98703e501124761a5","Москва"
"609a84ae8703e501124761a6","Москва"
"609a84b28703e501124761a7","Москва"
"609a84b48703e501124761a8","Территория среди объектов современного стиля с цветными фасадами."
"609a84b98703e501124761a9","Москва"
"609a84bc8703e501124761aa","Москва"
"609a84bf8703e501124761ab","Москва"
"609a84c38703e501124761ac","Москва"
"609a84c78703e501124761ad","Москва"
"609a84cb8703e501124761ae","Москва"
"609a84cf8703e501124761af","Москва"
"609a84d28703e501124761b0","Москва"
"609a84d48703e501124761b1","Москва"
"609a84d88703e501124761b2","Москва"
"609a84df8703e501124761b4","Москва"
"609a84e38703e501124761b5","Территория жилого комплекса с прогулочной аллеей и велодорожками.  Москва"
"609a84e78703e501124761b6","Белый дом в центре Москвы со своей парковкой.  Москва"
"609a84eb8703e501124761b7","Переговоры в разных стилях.  Москва"
"609a84ee8703e501124761b8","Просторный светлый конгресс-холл с красными креслами"
"609a84f28703e501124761b9","Конференц-зал в темных тонах"
"609a84f68703e501124761ba","Просторный когресс-холл круглой формы с балконом и красными креслами"
"609a84fa8703e501124761bb","Светлый квадратный конгресс-холл с классической сценой"
"609a84fe8703e501124761bc","Просторный конгресс-холл со стеклянной крышей"
"609a85018703e501124761bd","Светлый конгресс-холл прямоугольной формы"
"609a85058703e501124761be","Светлый зал с большими панорамными окнами и отделкой серым бетоном.  Москва								  ЦАО"
"609a85098703e501124761bf","Светлый конференц-зал с панорамными окнами и белой мебелью"
"609a850c8703e501124761c0","Зал с белыми стенами и небольшой сценой"
"609a85108703e501124761c1","Небольшой светлый холл на первом этаже с панорамными окнами"
"609a85138703e501124761c2","Большое светлое пространство в современной стилистике, большая площадь остекления, открытые элементы конструкций, современный хай-тек стиль дизайна интерьера, белый пол, глянцевый пол."
"609a85178703e501124761c3","Современный просторный офис-лофт с ослепительно-белыми стенами.  Москва								  ВАО"
"609a851a8703e501124761c4","Современное здание бизнес-центра, похожая на большой город уличная территория.  Москва								  ЗАО"
"609a851e8703e501124761c5","Москва								  ЗАО"
"609a85218703e501124761c6","МО								  Химки"
"609a85258703e501124761c7","Небольшой офис с видом на Москва-Сити, расположенный на верхнем этаже. В офисе имеется небольшая кухня с электрической плитой."
"609a85268703e501124761c8","Офис с панорамным видом.  Москва"
